id,title,title_english,type,source,episodes,status,airing,rating,score,rank,scored_by,popularity,favorites,members,synopsis,season,year,start,ending,studios,genres,ranking
35566,Koe no Katachi Specials,A Silent Voice Specials,Special,Manga,2,Finished Airing,False,PG-13 - Teens 13 or older,7.1,3902,7289,4544,45,26587,"The limited first edition of the Blu-ray Disc for Kyoto Animation's film adaptation of Yoshitoki Ooima's A Silent Voice manga includes two bonus new animation videos of AIKO's theme song Koi wo Shita no wa and Kensuke Ushio's in-film track Speed of Youth.

Kyoto Animation produced the videos inspired by the songs, and the film's director Naoko Yamada personally handled the videos' storyboards and technical direction.

(Source: ANN)",,2017,2017-05-17,,Kyoto Animation,,275
34325,Pokemon XY&Z Specials,,Special,Game,2,Finished Airing,False,PG - Children,7.1,3914,6279,6076,4,12721,"Professor Sycamore and Alexa explore some ruins, where they discover a stone statue of a woman named Aila, and a legend emerges. A collection of Kalos records reveals that Aila's true love, Jan, attempted to vanquish the Destruction Pokémon Yveltal. When he failed, the land was drained of all life as Yveltal became a cocoon and turned Aila to stone.

Jan continued his quest, seeking out the Life Pokémon Xerneas to replenish the barren land—although it couldn't save Aila. When Kalos seemed hopelessly out of balance, the Order Pokémon Zygarde appeared to restore it, and Jan remained at Aila’s side as the cycle of life and destruction continued. 

(Source: Builbapedia)",,2016,2016-11-03,2016-11-10,OLM,Action;Adventure;Comedy;Fantasy,276
34870,BanG Dream! Asonjatta!,BanG Dream! We Had Some Fun!,Special,Mixed media,1,Finished Airing,False,PG-13 - Teens 13 or older,7.09,3958,7077,5966,24,13405,Unaired episode included with the 7th Blu-ray volume of BanG Dream!.,,2017,2017-11-22,,Xebec;Issen,Slice of Life,277
17717,Kidou Senshi Gundam: Dai 08 MS Shoutai - Sanjigen to no Tatakai,Mobile Suit Gundam: The 08th MS Team - A Battle with the Third Dimension,Special,Original,1,Finished Airing,False,PG-13 - Teens 13 or older,7.08,3995,5430,6533,7,10679,"Mobile Suit Gundam: The 08th MS Team - Battle in Three Dimensions is a short film bundled with Mobile Suit Gundam: The 08th MS Team Blu-ray Memorial Box-set.

The 08th M.S. Team travels through the jungle while on a mission, Shiro Amada checks his map and stops when he spots a long bridge up ahead that spans a wide river, when they are attacked by a group of Zeon..

(Source: Gundam Wiki)",,2013,2013-02-22,,Sunrise,Action,278
51782,Meitantei Conan: Honchou no Keiji Koi Monogatari - Kekkon Zenya,Detective Conan: Love Story at Police Headquarters - Wedding Eve,Special,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,7.08,4003,837,11683,1,2098,"The special contains the footage from episodes featuring Takagi and Sato, with a new narration from Conan and re-recorded line of Takagi and Sato.

In the end scene, Sato is preparing herself as the bride as Yumi approach her. Meanwhile, Takagi is waiting outside. Those scenes are leading to the events in The Bride of Halloween.

(Source: DCW Wiki)",,2022,2022-04-15,,TMS Entertainment,Adventure;Comedy;Mystery;Romance,279
6999,Tennis no Oujisama: Another Story - Kako to Mirai no Message Specials,The Prince of Tennis: Another Story - Messages From Past and Future OVA Bonus,Special,Manga,2,Finished Airing,False,PG-13 - Teens 13 or older,7.08,4017,2609,8005,3,6473,"Aru Hi no Oshitari
Hyoutei Academy's Yuushi Oshitari is fed up with being the unfunny one in his daily life. He sets out to rectify this by getting himself into an idiotic situation, but his tennis club teammates do not seem to understand what he is doing.

Aru Hi no Oshitari 2
Even though he is supposed to be the humorous one, Kenya Oshitari is concerned that his recent ""manzai"" jokes have not been landing. Luckily for him, his teammate from the Shitenhouji Middle School tennis team, Hikaru Zaizen, has come to save the day by replacing him as the laughing stock in the jokes.

[Written by MAL Rewrite]",,2009,2009-05-26,2009-09-25,M.S.C,Comedy,280
7861,Versailles no Bara to Onna-tachi,Lady Oscar Special,Special,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,7.08,4022,1376,9527,35,4032,"In its 22 minutes, the TV special briefly covers the influential women involved in the series, such as DuBarry, Polignac, Rosalie, Jeanne La Motte, Maria Antoinette, and Oscar. All the scenes used are taken from the series.",,1980,1980-09-10,,Tokyo Movie Shinsha,Drama,281
20035,Toaru Majutsu no Index-tan Movie: Endymion no Kiseki - Ga Attari Nakattari,A Certain Magical Index Movie Special,Special,Light novel,1,Finished Airing,False,PG-13 - Teens 13 or older,7.07,4032,10883,4580,19,26033,Bonus animation featuring Index-tan included with the BD special edition of the Toaru Majutsu no Index: Endymion no Kiseki movie.,,2013,2013-08-28,,J.C.Staff,Action;Fantasy;Sci-Fi,282
2589,Black Cat: Toozakaru Neko,Black Cat Special,Special,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,7.07,4045,9918,4877,25,22276,Black Cat DVD only episode.,,2006,2006-07-26,,Gonzo,Action;Adventure;Comedy;Sci-Fi,283
4798,Druaga no Tou: The Aegis of Uruk - Jil no Bouken,Tower of Druaga: The Aegis of Uruk - Jil's Adventure,Special,Game,1,Finished Airing,False,PG-13 - Teens 13 or older,7.07,4051,6805,5634,11,15425,"This is a special ""back-side"" (ura) episode aired on GyaO simultaneously with original broadcast which features the background story from party's side instead of Jil's. 

(Source: AniDB)",,2008,2008-04-04,,Gonzo,Adventure;Fantasy,284
631,Mahoromatic Summer Special,,Special,Manga,1,Finished Airing,False,R+ - Mild Nudity,7.07,4067,5857,6272,3,11781,"It's another normal day in the Misato residence when Mahoro finds yet another pornographic magazine in Suguru's room. This prompts her and Minawa to make a pact with Chizuko, Rin, Miyuki and Miss Shikijo to search and confiscate all of the perverted stash in the house. Suguru, Kiyomi and Toshiya must do whatever it takes to protect their treasure from the girls. 

(Source: ANN)",,2003,2003-08-15,,Gainax;Shaft,Comedy;Romance;Sci-Fi;Ecchi,285
33713,Seihou Bukyou Outlaw Star Specials,Outlaw Star,Special,Manga,2,Finished Airing,False,R+ - Mild Nudity,7.06,4088,3790,7284,3,8242,"Unaired episodes of Seihou Bukyou Outlaw Star included in the eighth and twelfth volumes of the VHS, designated as episodes 16 and 23.",,1998,1998-12-18,1999-04-25,Sunrise,Action;Adventure;Comedy;Sci-Fi;Ecchi,286
1066,Shakugan no Shana-tan,,Special,Light novel,4,Finished Airing,False,PG-13 - Teens 13 or older,7.06,4091,18017,3961,23,35086,"Shana-tan specials bundled with the first and fifth volume pre-orders of the Shakugan no Shana DVD, the limited edition Shakugan no Shana guide book, and the limited edition Shakugan no Shana Movie preview DVD special.

Episodes
#1: Shakugan no Shana-tan
#2: Shakugan no Shana-tan Returns
#3: Itadaki no Hecate-tan
#4: Banjou no Carmel-san",,2006,2006-01-25,2007-04-04,J.C.Staff,Comedy,287
7654,Tokyo Magnitude 8.0 Recap,,Special,Original,1,Finished Airing,False,PG-13 - Teens 13 or older,7.06,4092,3057,6984,11,9111,Recap special of Tokyo Magnitude 8.0.,,2009,2009-12-11,,Bones;Kinema Citrus,Drama,288
2937,Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi,Sailor Moon R: Make Up! Sailor Guardians,Special,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,7.06,4101,8104,5245,26,18671,"Usagi and Chibiusa overhear two girls talking about the Sailor Senshi after they see a poster. Humorously, as the girls discuss which is the smartest, most elegant, strongest, and the leader of the Senshi, Usagi claims those titles for herself. Chibiusa shakes her head at Usagi's delusion. Clips are shown from the debut of each Sailor Senshi, and that girl's image song is played in the background. When even Tuxedo Mask is mentioned, and the girls go to leave without having mentioned Sailor Moon, Usagi butts in on their conversation and asks them directly about Sailor Moon. The girls give a series of glowing compliments about Sailor Moon, but unlike they did for the other Senshi, they also list her faults. After the girls leave, Usagi sarcastically apologises for being a clumsy cry-baby and then bursts into tears.

(Source: Wikipedia)",,1993,1993-12-05,,Toei Animation,,289
