id,title,title_english,type,source,episodes,status,airing,rating,score,rank,scored_by,popularity,favorites,members,synopsis,season,year,start,ending,studios,genres,ranking
55571,Macross (Shinsaku Animation),,unknown,Original,0,Not yet aired,False,no_rating,0.0,32748,0,16048,1,599,,,0,,,Sunrise,Action;Romance;Sci-Fi,15
55727,Miru: Watashi no Mirai,Miru: Paths to My Future,unknown,Original,5,Not yet aired,False,no_rating,0.0,32804,0,12710,4,1498,"In the distant future, humans create a robot named MIRU capable of traveling through time, visiting various eras, places, and even parallel worlds. Unlike some robots, MIRU isn't equipped with weapons. Instead, it helps people overcome immense obstacles peacefully, encouraging new beginnings without violence.

MIRU continuously evolves by interacting with people, learning and growing to assist those struggling to survive. It listens to their problems and offers support. By helping others, MIRU sets off a ""Butterfly Effect,"" of dramatic change guiding society toward a brighter future.

Why was MIRU created? What is its purpose? Can it save the Earth and humanity from a dystopian future?

(Source: MAL News)",,2025,2025-04-01,,,,16
55779,Cocoon,,unknown,Manga,0,Not yet aired,False,no_rating,0.0,32819,0,12084,2,1856,"San and Mayu are two schoolgirls living in Okinawa during the closing months of the Pacific War. Together with their classmates, the two friends are drafted into the war effort as nurses for wounded soldiers. When ordered to die for their country, the remaining members of the group escape only to face the harsh environment of a tropical paradise that has become a hellish battlefield.",,2025,2025-07-01,,Sasayuri,Drama,17
56182,Urahara (Unknown),,unknown,Original,0,Not yet aired,False,no_rating,0.0,32986,0,15916,2,618,,,0,,,,,18
56646,Hokuto no Ken: Fist of the North Star,,unknown,Manga,0,Not yet aired,False,no_rating,0.0,33070,0,7683,28,7157,"In 199x, the world was engulfed in the blaze of nuclear war.

With the Ocean drying up and Earth torn asunder, all life seems to be lost but humans survived stubbornly. However, what dominated the post-apocalyptic world was sheer violence. The remaining humanity was split into two groups: those who kill and take whatever they can and those who are exploited.

When all hope seems lost for the weak, a man in ragged cloth appears. He is Kenshiro, the rightful successor of the Hokuto Shinken martial arts with seven studs-like scars in the shape of the Big Dipper. His journey to becoming a legendary savior begins! 

(Source: Warner Bros. Japan, edited)",,0,,,,Action;Drama;Sci-Fi,19
56693,Watari-kun no xx ga Houkai Sunzen,Watari-kun's ****** Is about to Collapse,unknown,Manga,0,Not yet aired,False,no_rating,0.0,33096,0,11866,4,1980,"Two years ago, the death of Naoto Watari's parents left him as the sole caretaker for his younger sister Suzushiro ""Suzu"" Watari and forced him to move in with their aunt. So devoted is he to Suzu that he refuses to join clubs or even hang out with anyone, earning him snide comments and the title of ""siscon"" at his new school. But as long as Suzu is safe and happy, Naoto doesn't care what everyone else says.

However, his sneering classmates may turn out to be the least of his worries. The sudden transfer of a girl named Satsuki Tachibana brings back traumatic memories from his past—a past she had a hand in making so unpleasant. Nasty secrets, unknown to Naoto, begin to surface with her arrival, threatening his new life. 

[Written by MAL Rewrite]",,0,,,,Comedy;Drama;Romance,20
56733,Magical★Explorer,Magical Explorer: Reborn as a Side Character in a Fantasy Dating Sim,unknown,Light novel,0,Not yet aired,False,no_rating,0.0,33122,0,11289,8,2356,"Reincarnated as a character in the legendary erotic game, “Magical Explorer,” it doesn’t take long for our hero to discover that he’s been designated the unlucky side-character rather than the game’s lady-killer protagonist. Not to worry, though! Armed with his vast knowledge of the game (and a few cheats) he’ll do whatever it takes to win the hearts of the game’s heroines and emerge as the most accomplished student at the Sorcerer's Academy!

(Source: Yen Press)",,0,,,,Adventure;Comedy;Ecchi,21
56734,Class de 2-banme ni Kawaii Onnanoko to Tomodachi ni Natta,,unknown,Light novel,0,Not yet aired,False,no_rating,0.0,33123,0,9503,30,4062,"I, Maehara Maki, struggled to connect with anyone during my high school years, finding it hard to make friends. Then, a turning point arrived. A girl named Asanagi entered my life. Despite being clandestinely referred to as the ""second cutest girl in class"" by the boys, she chose to spend her Fridays with me instead of her best friend Amami, who held the ""cutest girl in class"" title. In the comfort of my home, we delved into the realm of games, watched movies, immersed ourselves in manga, indulged in junk food—pizza, hamburgers—and guzzled cola, carefree and content. To the outside world, we might have seemed a bit messy, but to both Asanagi and me, it was a cherished, hidden time together.

(Source: MAL News)",,0,,,,Comedy;Romance,22
56735,"Tenkou-saki no Seiso Karen na Bishoujo ga, Mukashi Danshi to Omotte Issho ni Asonda Osananajimi Datta Ken",,unknown,Light novel,0,Not yet aired,False,no_rating,0.0,33124,0,9946,16,3520,"I met my childhood friend again, and she had become a beautiful and innocent girl.

""It's been a while, Hayato.""
""Haruki, is it?""

In the past, I used to play in the mud with my childhood friend in the countryside, and when I saw him again, there was no trace of the bratty young man I thought he was back then. Only in front of Hayato, she threw away the coat she was wearing and reacted in the same crass way she did back then. The distance between you and me has not changed.

(Source: Shousetsuka ni Narou, translated)",,0,,,,Comedy;Romance,23
56736,Saikyou Degarashi Ouji no Anyaku Teii Arasoi: Munou wo Enjiru SS Rank Ouji wa Koui Keishousen wo Kage kara Shihai suru,The Insipid Prince's Furtive Grab for The Throne,unknown,Light novel,0,Not yet aired,False,no_rating,0.0,33125,0,10638,12,2868,"The Adrasia empire on the Vogel continent. There is a battle over the throne of such an empire that possesses powerful military and vast territory. With the successor undecided, the children of the emperor are vying to expand their power. However, there was one prince that everyone says will definitely not become the emperor: the seventh prince, Arnold Lakes Adler. The young man who was inferior to his younger twin brother in every way, the dull prince. Incompetent and lethargic, Arnold wastes everyday just playing around. However, behind the scenes, he is one of the only five SS-Class adventurers called ""Silver."" Seeing the intensifying battle for the throne he decided ""I don't want to die, so let's have my little brother become the emperor..."" This is the tale of absurd secret maneuvers of the prince who is uninterested in the title of the emperor.

(Source: Shousetsuka ni Narou, translated)",,0,,,,Action;Adventure;Fantasy,24
